data,percentual,variacao,rendimento
2025-09-08,0.014,0.014,6.4
2025-09-09,0.015,0.001,6.7
2025-09-10,0.018,0.003,8
2025-09-11,0.024,0.007,10.9
2025-09-12,0.016,-0.009,7.1
2025-09-15,0.012,-0.013,5.3
2025-09-16,0.041,0.029,18.3
2025-09-17,0.045,0.004,20.1
2025-09-18,0.002,-0.043,1.1
2025-09-19,0.033,0.031,14.7
2025-09-22,0.04,0.007,17.6
2025-09-23,0.046,0.007,20.5
2025-09-24,0.018,-0.028,8.1
2025-09-25,0.04,0.022,17.7
2025-09-26,0.019,-0.021,8.5
2025-09-29,0.026,0.007,11.7
2025-09-30,0.061,0.035,27.23
2025-10-01,0.35,0.29,156.09
2025-10-02,0.5,0.15,222.01
2025-10-03,0.04,-0.45,19.36
